Requested Quantity 1,Part Number,Vendor,Manufacturer Part Number,Description,Reference Designator
1,ED11524-ND,Digikey,6331-0-00-15-00-00-08-0,CONN PC PIN CIRC 0.093DIA GOLD,A1
1,ED11524-ND,Digikey,6331-0-00-15-00-00-08-0,CONN PC PIN CIRC 0.093DIA GOLD,A2
1,ED11524-ND,Digikey,6331-0-00-15-00-00-08-0,CONN PC PIN CIRC 0.093DIA GOLD,A3
21,490-8814-ND,Digikey,RDER71H104K0K1H03B,CAP CER 0.1UF 50V X7R RADIAL,C1 C5 C6 C4 C10 C55 C12 C54 C99915 C16 C56 C31 C22 C20 C35 C2 C18 C44 C37 C7 C39
1,490-9014-1-ND,Digikey,RDE5C1H390J0M1H03A,CAP CER 39PF 50V C0G/NP0 RADIAL,C13
1,445-180775-1-ND,Digikey,FA28NP01H330JNU06,CAP CER 33PF 50V NP0 RADIAL,C14
2,490-9030-1-ND,Digikey,RDE5C1H560J0M1H03A,CAP CER 56PF 50V C0G/NP0 RADIAL,C15 C17
1,493-16246-1-ND,Digikey,ULD1C470MDD1TD,CAP ALUM 47UF 20% 16V RADIAL,C19
2,445-180756-1-ND,Digikey,FA28C0G2E151JNU06,CAP CER 150PF 250V C0G RADIAL,C23 C21
2,445-180714-1-ND,Digikey,FA28C0G1H182JNU06,CAP CER 1800PF 50V C0G RADIAL,C24 C25
1,493-10824-1-ND,Digikey,UES1E100MDM1TD,CAP ALUM 10UF 20% 25V RADIAL,C32
1,1189-2204-ND,Digikey,16ZLJ4700M16X25,CAP ALUM 4700UF 20% 16V RADIAL,C36
1,493-15896-1-ND,Digikey,URS1C221MPD1TA,CAP ALUM 220UF 20% 16V RADIAL,C38
12,399-14073-1-ND,Digikey,C317C223M5U5TA7301,CAP CER 0.022UF 50V Z5U RADIAL,C57 C59 C27 C33 C26 C28 C29 C30 C40 C41 C42 C43
1,399-13913-1-ND,Digikey,C315C102K1R5TA7301,CAP CER 1000PF 100V X7R RADIAL,C58
1,718-2229-ND,Digikey,515D105M050JA6AE3,CAP ALUM 1UF 20% 50V RADIAL,C8
3,P10369CT-ND,Digikey,ECA-1CM101B,CAP ALUM 100UF 20% 16V RADIAL,C9 C11 C34
1,S9672-ND,Digikey,EBC20DRAS,CONN EDGE DUAL FMALE 40POS 0.100,CN1
1,A144434-ND,Digikey,6-520415-6,CONN FFC VERT 16POS 2.54MM PCB,CN2
2,23-0022182121-ND,Digikey,22182121,CONN RCPT 12POS 0.1 GOLD PCB,CN4 CN3
2,1N5401GDICT-ND,Digikey,1N5401G-T,DIODE GEN PURP 100V 3A AXIAL,D10 D11
6,1N4148FS-ND,Digikey,1N4148,DIODE GEN PURP 100V 200MA DO35,D12 D4 D13 D2 D1 D3
3,1N4148FS-ND,Digikey,1N4148,DIODE GEN PURP 100V 200MA DO35,D7 D5 D6
