Qty,Reference(s),Value,Manufacturer part#,Vendor,Vendor 2nd part#,Vendor part#,Description 2nd part,MPN,Manufacturer 2nd part#
24,"C1, C4, C6, C7, C8, C12, C13, C14, C26, C28, C30, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C50, C51",.1uF,RDER71H104K0M1H03A,digikey,,490-9144-1-ND,,,
4,"C2, C55, C56, C67",10uF 25v,UPW1E100MDD,digikey,,493-1809-ND,,,
1,C3,1uF 50V,515D105M050JA6AE3,digikey,,718-2229-ND,,,
3,"C5, C52, C53",.033uF,C410C333K5R5TA7200,digikey,,399-4470-1-ND,,,
1,C9,100uF 16V,16ZLH100MEFC5X11,digikey,,1189-1148-ND,,,
4,"C10, C11, C37, C61",39pF,K390J15C0GF5TL2,digikey,,BC1008CT-ND,,,
2,"C15, C27",100uF 16v,UST1C101MDD1TA,digikey,,493-17434-1-ND,,,
10,"C16, C17, C20, C21, C25, C32, C33, C35, C36, C49",.022uF,C317C223M5U5TA7301,digikey,,399-14073-1-ND,,,
4,"C18, C19, C22, C23",1800pF,FA28C0G1H182JNU06,digikey,,445-180714-1-ND,,,
1,C24,10uF NP,UVP1E100MDD1TD,digikey,,493-12688-1-ND,,,
1,C29,4700uF 16V,16PK4700MEFC12.5X25,digikey,,1189-1123-ND,,,
1,C31,220uF  16V,URS1C221MPD1TA,digikey,,493-15896-1-ND,,,
1,C34,100pF,K101J15C0GF5TH5,digikey,,BC1042CT-ND,,,
1,C54,470uF,ECA-1CM471,digikey,,P5141-ND,,,
1,C57,.022uF,C410C223K5R5TA7200,digikey,,399-4464-1-ND,,,
3,"C58, C59, C68",1000pF,K102K10X7RF5UH5,digikey,,BC2659CT-ND,,,
1,C60,33pF,FA28NP01H330JNU06,digikey,,445-180775-1-ND,,,
2,"C62, C63",220uF 25V,ECA-1EM221,digikey,,P5153-ND,,,
1,C64,150pF,FA28C0G2E151JNU06,digikey,,445-180756-1-ND,,,
1,C65,82pF,K820J15C0GF5TH5,digikey,,BC1041CT-ND,,,
1,C66,27pF,K270J15C0GF5TH5,digikey,,BC1035CT-ND,,,
1,CN1,Conn_02x20_Odd_Even,EBC20DRAS,digikey,,S9672-ND,,,
1,CN2,Conn_01x16_Female,6-520415-6,digikey,,A144434-ND,,,
1,CN3,Conn_02x05_Odd_Even,PRPC005DAAN-RC,digikey,,S2011EC-05-ND,,,
3,"CN4, CN5, CN6",Conn_01x12_Female,22182121,digikey,,23-0022182121-ND,,,
1,CN7,Conn_01x03_Male,9652038,digikey,,WM18824-ND,,,
2,"D1, D2",1N5401-G,1N5401,digikey,,641-1314-1-ND,,,
2,"D3, D4",UF1002-T,UF1002-T,digikey,,UF1002DICT-ND,,,
2,"D5, D12",1N4148,1N4148,digikey,,1N4148FS-ND,,,
2,"D6, D7",1N5228B-TAP,1N5228B-TAP,digikey,,1N5228B-TAPGICT-ND,,,
4,"D8, D9, D10, D11",1N4148,DIODE GEN PURP 100V 200MA DO35,digikey,,1N4148FS-ND,,,
2,"D13, D14",1N4002,1N4002-TP,digikey,,1N4002-TPMSCT-ND,,,
8,"FB1, FB2, FB5, FB6, FB7, FB8, FB9, FB10",,28L0138-10R-10,digikey,,240-2438-1-ND,,,
1,IC1,MC6809E,ED40DT,digikey,,ED3048-5-ND,,,
1,IC2,27C256,AT27C256R-45PU,digikey,,AT27C256R-45PU-ND,,,
1,IC3,SN74LS245N,SN74LS245N,digikey,,296-1655-5-ND,,SN74LS245N,
1,IC4,W65C21N6TPG-14,W65C21N6TPG-14,mouser,,955-W65C21N6TPG-14,,,
1,IC5,W65C21N6TPG-14,W65C21N6TPG-14,mouser,,955-W65C21N6TPG-14,,,
1,IC6,TCC1014,A-CCS 068-G-T,digikey,,AE11249-ND,,,
1,IC7,SC77526,243-20-1-03,digikey,,1175-1479-ND,,,
1,IC8,SC77527P,1-2199298-4,digikey,,A120349-ND,,,
